Player,Year,FirstServe,FirstServePointsWon,Aces,BreakPointsFaced,BreakPointsOpportunities,BreakPointsSaved,DoubleFaults,ServiceGamesPlayed,ServiceGamesWon,Wins,Losses,Earnings,Ranking
Grigor Dimitrov,2012,0.62,0.73,309,283,290,0.65,120,539,0.82,24,19,405210,5
Maximo Gonzalez,2012,0.62,0.62,1,16,7,0.75,4,14,0.71,0,1,28921,538
Jeremy Chardy,2015,0.62,0.75,404,341,334,0.62,233,708,0.82,27,27,991907,84
Fernando Verdasco,2013,0.62,0.73,296,325,393,0.61,248,678,0.81,29,23,875350,37
Frank Dancevic,2016,0.62,0.75,38,38,42,0.74,10,80,0.88,5,5,70775,328
Hiroki Moriya,2014,0.62,0.59,5,18,7,0.5,3,20,0.55,0,2,90594,309
Steven Diez,2016,0.62,0.63,11,30,23,0.5,15,45,0.67,1,3,97021,330
Grigor Dimitrov,2015,0.62,0.75,396,346,391,0.65,153,695,0.83,33,22,968791,5
Juan Martin del Potro,2011,0.62,0.76,475,249,402,0.67,124,701,0.88,48,18,1025094,6
Daniel Munoz de la Nava,2014,0.62,0.59,4,13,3,0.62,7,13,0.62,0,1,39300,274
Borna Coric,2017,0.62,0.72,292,315,300,0.67,124,620,0.83,24,26,988892,39
Karen Khachanov,2013,0.62,0.69,33,31,23,0.58,13,54,0.76,4,2,32526,38
Austin Krajicek,2015,0.62,0.74,169,113,84,0.61,60,239,0.82,7,11,243725,291
Mathias Bourgue,2017,0.62,0.66,10,11,10,0.45,2,22,0.73,0,2,114714,245
David Goffin,2011,0.62,0.71,15,20,24,0.7,10,41,0.85,2,2,68176,10
Joao Souza,2015,0.62,0.7,113,164,116,0.55,58,268,0.72,7,18,289545,305
Ryan Harrison,2012,0.62,0.71,286,292,248,0.63,118,550,0.81,23,24,390628,54
Sam Groth,2014,0.62,0.81,343,99,90,0.67,92,295,0.89,10,13,291068,286
Yuki Bhambri,2016,0.62,0.58,8,28,24,0.46,14,36,0.58,0,3,58101,83
Gianni Mina,2014,0.62,0.6,1,6,9,0.5,2,12,0.75,0,1,26789,481
David Guez,2014,0.62,0.57,7,23,11,0.43,1,26,0.5,0,2,70584,268
Sam Groth,2015,0.62,0.79,624,211,193,0.65,179,536,0.86,19,22,503647,286
Rajeev Ram,2014,0.62,0.7,61,69,49,0.62,28,114,0.77,11,13,125212,1054
Dmitry Tursunov,2016,0.62,0.67,37,84,35,0.62,25,112,0.71,1,7,154898,516
Arthur De Greef,2017,0.61,0.67,23,53,33,0.6,17,78,0.73,2,5,121332,287
Jaume Munar,2015,0.61,0.6,4,21,6,0.52,1,23,0.57,1,2,34516,173
Konstantin Kravchuk,2017,0.61,0.74,91,108,60,0.61,43,158,0.73,2,12,233163,323
Kenny De Schepper,2012,0.61,0.77,44,27,25,0.67,22,63,0.86,1,4,125514,174
Marco Chiudinelli,2009,0.61,0.71,107,148,120,0.65,43,272,0.81,10,13,283643,464
Viktor Troicki,2012,0.61,0.71,424,400,396,0.56,116,667,0.74,26,29,695399,70
Florian Mayer,2012,0.61,0.71,180,276,278,0.59,55,512,0.78,23,26,747236,74
Jiri Vesely,2013,0.61,0.68,29,53,24,0.57,28,72,0.68,0,7,156651,72
Ilya Ivashka,2016,0.61,0.45,3,20,10,0.5,4,13,0.23,5,1,84604,122
Carlos Berlocq,2010,0.61,0.65,10,46,37,0.52,14,68,0.68,3,3,111827,114
Daniel Gimeno-Traver,2015,0.61,0.7,109,203,215,0.57,85,366,0.76,13,18,349188,272
Viktor Galovic,2014,0.61,0.6,7,6,5,0,4,16,0.63,0,1,12118,183
Bernard Tomic,2009,0.61,0.6,19,53,26,0.58,13,59,0.63,1,3,69807,182
Alexios Halebian,2017,0.61,0.68,6,5,6,0.6,1,9,0.78,0,1,15203,706
Kei Nishikori,2011,0.61,0.68,137,377,403,0.6,158,640,0.77,36,22,745364,36
Quentin Halys,2016,0.61,0.72,89,87,60,0.69,54,122,0.78,3,6,214925,118
Darian King,2017,0.61,0.61,13,56,45,0.54,14,77,0.66,9,4,172398,179
Stan Wawrinka,2011,0.61,0.71,322,324,449,0.57,124,700,0.8,36,20,897115,21
Sergiy Stakhovsky,2017,0.61,0.75,131,77,74,0.62,35,182,0.84,6,8,288600,121
Florian Mayer,2011,0.61,0.7,252,415,465,0.6,135,751,0.78,45,26,936791,74
Marco Chiudinelli,2012,0.61,0.69,31,77,70,0.62,33,129,0.78,4,10,130979,464
Ryan Harrison,2010,0.61,0.7,84,105,89,0.66,46,167,0.78,4,9,132028,54
Florian Mayer,2017,0.61,0.7,113,206,132,0.67,45,313,0.78,10,17,649817,74
Maximilian Marterer,2015,0.61,0.72,14,8,7,0.25,8,25,0.76,0,2,32955,73
Robin Haase,2014,0.61,0.7,201,239,228,0.56,92,469,0.78,18,23,439474,44
Blaz Rola,2014,0.61,0.71,65,103,85,0.6,52,168,0.76,5,9,278471,166
Rogerio Dutra Silva,2013,0.61,0.63,13,66,31,0.44,20,93,0.6,0,1,6171,125
Andrey Kuznetsov,2010,0.61,0.7,33,39,49,0.62,20,70,0.79,1,4,64118,135
Teymuraz Gabashvili,2013,0.61,0.65,21,30,37,0.67,10,52,0.81,2,2,166718,301
Teymuraz Gabashvili,2012,0.61,0.68,11,36,38,0.53,15,61,0.72,1,5,85099,301
Adrian Menendez-Maceiras,2013,0.61,0.6,12,22,4,0.55,5,26,0.62,0,2,83810,156
Adrian Menendez-Maceiras,2017,0.61,0.7,30,36,41,0.44,10,76,0.74,2,4,184299,156
Marsel Ilhan,2015,0.61,0.7,135,137,104,0.55,47,263,0.77,12,14,365197,303
Marsel Ilhan,2011,0.61,0.7,131,140,106,0.57,47,231,0.74,5,13,209973,303
Andreas Seppi,2010,0.61,0.68,218,345,373,0.57,115,621,0.76,24,28,481348,62
Adrian Mannarino,2015,0.61,0.71,250,407,402,0.63,140,679,0.78,28,29,751239,26
Jurgen Zopp,2012,0.61,0.69,88,113,132,0.57,45,211,0.77,9,12,205319,137
Andreas Seppi,2012,0.61,0.71,275,381,423,0.57,108,730,0.78,38,27,852988,62
Adrian Mannarino,2013,0.61,0.7,141,214,138,0.7,62,306,0.79,10,15,462874,26
Go Soeda,2014,0.61,0.63,9,36,27,0.53,10,40,0.58,2,4,123905,138
Jozef Kovalik,2016,0.61,0.66,36,88,74,0.6,36,144,0.76,4,9,193074,152
Jozef Kovalik,2017,0.61,0.66,31,66,38,0.64,12,86,0.72,3,6,132279,152
Alejandro Gonzalez,2015,0.61,0.66,43,103,93,0.51,35,161,0.69,5,11,200466,308
Steve Darcis,2014,0.61,0.67,9,16,13,0.69,6,26,0.81,0,3,83402,140
Tim Puetz,2014,0.61,0.79,38,17,22,0.65,12,36,0.83,0,0,8886,310
Andrey Golubev,2012,0.61,0.67,37,64,43,0.66,29,89,0.75,3,6,112137,880
Tatsuma Ito,2014,0.61,0.68,47,58,41,0.66,29,101,0.8,3,6,191093,146
Thiemo de Bakker,2016,0.61,0.71,122,119,81,0.57,26,209,0.76,6,13,184218,311
Thiemo de Bakker,2013,0.61,0.7,106,143,92,0.64,34,207,0.75,10,10,207712,311
Thiemo de Bakker,2010,0.61,0.75,482,271,302,0.65,78,620,0.85,28,24,515137,311
Thiemo de Bakker,2009,0.61,0.7,29,36,27,0.64,7,58,0.78,3,6,83206,311
Alexander Ward,2016,0.61,0.68,10,27,5,0.67,8,29,0.69,0,2,57207,315
Fred Gil,2009,0.61,0.68,102,230,203,0.57,76,390,0.75,3,7,20375,440
Pablo Cuevas,2010,0.61,0.69,193,286,261,0.56,92,442,0.71,21,22,360882,41
Tommy Haas,2010,0.61,0.71,69,67,64,0.69,32,108,0.81,3,4,68499,298
James Ward,2012,0.61,0.7,51,46,38,0.61,14,87,0.79,1,6,89085,798
Grega Zemlja,2010,0.61,0.7,66,60,40,0.67,15,99,0.8,7,4,113823,898
James Ward,2011,0.61,0.75,62,40,44,0.63,33,94,0.84,8,5,108066,798
Ante Pavic,2015,0.61,0.74,23,17,21,0.59,12,30,0.77,0,2,32802,288
Joris De Loore,2016,0.61,0.75,14,8,7,0.63,5,14,0.79,1,1,48992,322
Brydan Klein,2016,0.61,0.7,14,13,3,0.54,10,27,0.78,1,2,15978,399
Gilles Muller,2012,0.61,0.81,559,227,206,0.65,125,564,0.86,22,21,344591,28
Gilles Muller,2015,0.61,0.8,765,316,269,0.71,201,718,0.87,33,24,749897,28
Gilles Muller,2016,0.61,0.81,888,263,317,0.67,212,716,0.88,35,24,752157,28
Stephane Robert,2013,0.61,0.72,20,28,42,0.5,15,63,0.78,2,2,161137,169
Guillermo Garcia-Lopez,2009,0.61,0.69,165,386,424,0.59,259,629,0.75,28,27,499117,68
Gleb Sakharov,2017,0.61,0.74,10,14,8,0.64,6,21,0.76,1,1,90152,188
Marcel Granollers,2014,0.61,0.69,225,357,339,0.54,111,600,0.73,19,28,725566,129
Marcel Granollers,2013,0.61,0.68,206,345,337,0.57,112,598,0.75,27,24,766626,129
Horacio Zeballos,2011,0.61,0.74,66,71,59,0.66,30,132,0.82,5,6,125990,67
Marcel Granollers,2010,0.61,0.68,178,314,322,0.57,110,508,0.73,21,22,525676,129
Julien Benneteau,2017,0.61,0.75,193,138,174,0.59,108,310,0.82,13,14,570509,57
Julien Benneteau,2016,0.61,0.7,165,141,135,0.58,64,268,0.78,7,14,331430,57
Donald Young,2017,0.61,0.69,195,360,251,0.62,186,571,0.76,24,22,713155,131
Albert Ramos-Vinolas,2013,0.61,0.7,141,250,278,0.54,97,487,0.76,20,23,412900,24
Donald Young,2012,0.61,0.64,63,289,228,0.54,119,367,0.64,5,24,256315,131
Tommy Haas,2017,0.61,0.69,96,162,103,0.69,82,256,0.8,6,14,261904,298
Rajeev Ram,2011,0.61,0.71,21,26,23,0.46,10,52,0.73,21,19,120661,1054
Joao Sousa,2011,0.61,0.63,6,13,11,0.31,2,23,0.61,2,2,51106,64
Tommy Haas,2011,0.61,0.71,148,148,113,0.61,81,260,0.78,7,12,189626,298
Matteo Viola,2013,0.61,0.62,23,110,77,0.56,61,121,0.6,4,7,136799,270
Peter Gojowczyk,2016,0.61,0.77,41,14,8,0.57,5,42,0.86,1,2,96700,50
Yen-Hsun Lu,2009,0.61,0.68,100,255,190,0.58,110,372,0.71,10,23,266729,98
Roberto Bautista Agut,2012,0.61,0.64,32,121,103,0.58,37,143,0.64,3,10,171425,16
Marius Copil,2012,0.61,0.77,65,32,30,0.63,11,67,0.82,4,4,86939,86
Marco Cecchinato,2014,0.61,0.66,7,21,18,0.48,7,40,0.73,0,3,85561,100
Andrey Rublev,2016,0.61,0.67,16,43,28,0.53,20,69,0.71,3,5,131887,33
Cedrik-Marcel Stebe,2017,0.61,0.63,39,98,102,0.51,31,132,0.64,6,6,201758,101
Tobias Kamke,2013,0.61,0.66,85,286,270,0.6,98,438,0.74,17,22,430383,213
David Ferrer,2009,0.61,0.69,192,435,564,0.6,179,773,0.77,45,23,969240,32
Cedrik-Marcel Stebe,2012,0.61,0.64,80,220,158,0.59,71,279,0.67,9,16,221132,101
Tobias Kamke,2014,0.61,0.67,61,203,153,0.62,82,327,0.76,10,17,351636,213
Maximo Gonzalez,2015,0.61,0.59,13,72,30,0.54,13,79,0.58,0,6,142255,538
Laslo Djere,2016,0.61,0.63,1,7,3,0.43,4,15,0.73,0,1,80698,102
Dusan Lajovic,2014,0.61,0.69,166,234,183,0.62,76,391,0.77,16,19,518819,93
Laslo Djere,2013,0.61,0.64,6,7,0,0.57,2,9,0.67,0,1,13345,102
Maximo Gonzalez,2016,0.61,0.61,25,64,48,0.66,27,75,0.71,2,5,95838,538
Pablo Carreno Busta,2014,0.61,0.68,120,279,242,0.54,79,450,0.71,13,25,532333,12
Sam Querrey,2010,0.61,0.79,709,339,401,0.67,203,810,0.86,39,24,1074562,14
Daniel Brands,2012,0.61,0.77,144,71,64,0.66,49,167,0.86,5,8,130823,428
James Duckworth,2014,0.61,0.7,74,77,26,0.66,22,119,0.78,1,7,174209,1051
Jordan Thompson,2017,0.61,0.68,165,228,194,0.59,72,348,0.73,13,17,422805,99
Frank Dancevic,2009,0.61,0.74,149,92,116,0.58,31,228,0.83,10,12,160612,328
Andreas Haider-Maurer,2012,0.61,0.67,24,28,20,0.5,22,44,0.68,1,5,82315,418
Ze Zhang,2012,0.61,0.65,21,45,34,0.53,24,56,0.63,3,6,120057,248
Yasutaka Uchiyama,2017,0.61,0.77,23,9,24,0.56,2,34,0.88,4,2,54950,228
Benjamin Becker,2016,0.61,0.7,142,172,152,0.52,76,301,0.72,9,18,346447,1051
Benjamin Becker,2015,0.61,0.71,209,232,164,0.57,96,412,0.76,11,20,492018,1051
Sam Querrey,2014,0.61,0.79,646,246,268,0.67,127,603,0.87,28,21,588602,14
Thomaz Bellucci,2009,0.61,0.71,234,233,216,0.61,90,417,0.78,21,18,390783,224
Thomaz Bellucci,2011,0.61,0.72,297,322,362,0.58,127,613,0.78,25,25,639354,224
Jurgen Melzer,2015,0.61,0.68,66,147,133,0.59,79,234,0.74,9,12,271587,581
Ze Zhang,2016,0.61,0.56,7,30,6,0.67,13,29,0.66,4,3,87531,248
Dudi Sela,2009,0.61,0.66,76,287,271,0.57,81,434,0.71,18,22,368650,94
Jeremy Chardy,2013,0.61,0.74,389,318,312,0.64,246,624,0.81,22,25,854554,84
Mikhail Youzhny,2011,0.61,0.69,182,354,391,0.59,137,641,0.78,27,24,684145,97
Noah Rubin,2016,0.61,0.67,14,51,26,0.63,23,80,0.76,2,4,119924,247
Illya Marchenko,2014,0.61,0.71,50,44,36,0.57,32,86,0.78,4,5,145916,252
Daniil Medvedev,2017,0.61,0.72,348,369,313,0.64,192,595,0.78,24,26,727580,49
Dudi Sela,2012,0.61,0.68,66,202,208,0.59,73,321,0.74,12,19,223687,94
Dudi Sela,2013,0.61,0.63,16,111,111,0.51,39,147,0.63,4,10,197103,94
Yen-Hsun Lu,2011,0.61,0.69,99,226,155,0.6,114,348,0.74,12,21,325481,98
Dudi Sela,2014,0.61,0.67,60,238,222,0.56,108,383,0.73,18,21,370260,94
Christian Lindell,2014,0.61,0.73,19,22,25,0.55,16,34,0.71,4,3,33618,357
Vaclav Safranek,2017,0.61,0.59,4,15,4,0.67,6,12,0.58,0,1,96091,257
Steve Johnson,2016,0.61,0.75,484,351,361,0.71,149,667,0.85,30,28,1015211,52
Nicolas Mahut,2014,0.61,0.73,284,211,199,0.58,124,439,0.8,14,23,403120,111
Guilherme Clezar,2015,0.61,0.64,11,28,23,0.5,10,42,0.67,0,3,104101,241
Alexander Zverev,2015,0.61,0.72,203,215,174,0.59,138,412,0.79,14,17,355608,4
Dmitry Tursunov,2014,0.61,0.69,173,228,165,0.64,97,381,0.78,14,19,469850,516
Nicolas Mahut,2017,0.61,0.71,213,237,208,0.62,91,426,0.79,15,19,602704,111
Nicolas Mahut,2016,0.61,0.74,230,244,232,0.59,113,535,0.81,23,20,869845,111
Richard Gasquet,2010,0.61,0.74,347,324,419,0.64,163,724,0.84,38,22,642344,34
John Millman,2017,0.61,0.65,38,83,61,0.58,13,118,0.7,3,6,296822,91
Leonardo Mayer,2010,0.61,0.74,211,210,167,0.65,103,394,0.81,13,21,262895,46
Marco Trungelliti,2016,0.61,0.66,23,70,50,0.64,30,94,0.73,2,4,174996,191
Nicolas Mahut,2012,0.61,0.72,273,275,209,0.66,92,456,0.79,16,18,324604,111
Nicolas Mahut,2011,0.61,0.73,160,129,171,0.62,81,266,0.82,11,11,249549,111
Steve Johnson,2011,0.61,0.75,31,21,18,0.71,13,37,0.84,0,2,40415,52
Nicolas Kicker,2017,0.61,0.66,56,167,130,0.6,60,268,0.75,10,13,362741,90
Jimmy Wang,2015,0.61,0.69,5,7,1,0.71,2,16,0.88,0,1,1555,1017
Alex de Minaur,2017,0.61,0.63,22,69,37,0.52,27,89,0.63,2,5,204673,112
Leonardo Mayer,2011,0.61,0.69,34,71,47,0.54,31,145,0.77,4,7,164853,46
Ernests Gulbis,2013,0.61,0.76,390,329,347,0.68,182,616,0.83,37,18,695243,193
John Millman,2012,0.61,0.64,4,4,2,0.25,1,9,0.67,0,1,34785,91
Tommy Robredo,2013,0.61,0.71,252,380,458,0.61,121,699,0.79,5,9,47991,202
Alexander Sarkissian,2015,0.61,0.84,15,3,9,0,5,23,0.87,1,1,44044,262
Carlos Berlocq,2017,0.61,0.66,91,267,199,0.57,89,381,0.7,13,20,412192,114
Dmitry Tursunov,2011,0.61,0.7,232,278,199,0.63,144,451,0.77,20,17,440460,516
Nicolas Mahut,2009,0.61,0.78,72,33,33,0.64,21,97,0.88,4,4,84741,111
Diego Schwartzman,2016,0.61,0.66,77,258,253,0.57,81,397,0.72,17,17,441494,15
Takao Suzuki,2009,0.61,0.57,4,2,2,0,2,9,0.78,2,1,22455,987
Ernests Gulbis,2011,0.61,0.74,372,241,240,0.61,170,469,0.8,18,22,461859,193
Tennys Sandgren,2017,0.61,0.72,37,63,30,0.62,12,90,0.73,2,6,227351,47
Andrey Golubev,2015,0.6,0.68,67,104,75,0.6,47,161,0.74,3,11,176102,880
Teymuraz Gabashvili,2014,0.6,0.67,132,325,296,0.57,131,498,0.72,19,25,594156,301
Adrian Ungur,2012,0.6,0.68,43,111,62,0.56,61,165,0.7,1,12,200096,548
Adrian Mannarino,2011,0.6,0.67,131,306,246,0.54,105,482,0.71,17,23,336492,26
Albano Olivetti,2013,0.6,0.78,52,23,3,0.65,15,40,0.8,0,2,11063,349
Diego Schwartzman,2014,0.6,0.57,4,48,55,0.44,13,71,0.62,2,4,256652,15
Adrian Mannarino,2010,0.6,0.68,40,52,37,0.56,17,83,0.72,2,4,144932,26
Aldin Setkic,2013,0.6,0.57,3,5,4,0,4,8,0.38,2,1,44180,227
Tatsuma Ito,2015,0.6,0.72,78,119,124,0.54,46,217,0.75,8,12,215778,146
Igor Sijsling,2012,0.6,0.75,150,97,91,0.57,37,211,0.8,8,10,219648,391
Tommy Haas,2009,0.6,0.77,436,292,357,0.66,233,667,0.85,31,17,914319,298
Sam Querrey,2009,0.6,0.79,739,272,387,0.6,188,789,0.86,41,23,647574,14
Adrian Mannarino,2016,0.6,0.7,264,388,383,0.59,169,649,0.76,26,28,615701,26
Yan Bai,2010,0.6,0.56,4,19,8,0.63,3,18,0.61,1,1,28042,555
Adrian Ungur,2016,0.6,0.6,4,45,25,0.6,13,49,0.63,2,6,70633,548
Adrian Mannarino,2012,0.6,0.66,29,59,37,0.46,21,81,0.6,1,7,117869,26
Frank Dancevic,2011,0.6,0.68,84,71,43,0.59,25,116,0.75,2,7,123763,328
Igor Sijsling,2011,0.6,0.82,45,21,19,0.62,16,55,0.85,2,3,78111,391
Sam Querrey,2013,0.6,0.79,576,249,279,0.61,162,594,0.84,27,22,612092,14
Thanasi Kokkinakis,2015,0.6,0.75,288,210,182,0.6,100,408,0.8,13,19,436844,150
Guilherme Clezar,2013,0.6,0.68,6,14,6,0.79,3,18,0.83,0,1,64892,241
Pablo Andujar,2013,0.6,0.65,73,450,348,0.62,167,557,0.7,18,31,666003,154
Grigor Dimitrov,2009,0.6,0.71,38,59,43,0.58,25,99,0.75,4,6,90689,5
Alejandro Gonzalez,2014,0.6,0.66,118,234,147,0.56,60,325,0.68,10,20,367224,308
Zhe Li,2016,0.6,0.56,3,15,2,0.47,2,17,0.53,0,2,78205,333
Yannick Mertens,2010,0.6,0.74,8,12,11,0.58,5,21,0.76,1,1,44419,336
Frederik Nielsen,2012,0.6,0.58,0,13,6,0.54,3,12,0.5,12,9,301462,549
Sam Querrey,2011,0.6,0.73,249,168,188,0.64,84,341,0.82,12,15,321222,14
Marsel Ilhan,2014,0.6,0.65,26,34,20,0.53,5,60,0.73,0,5,164589,303
Teymuraz Gabashvili,2011,0.6,0.66,85,222,185,0.54,106,350,0.71,10,20,247356,301
Andrey Golubev,2014,0.6,0.66,99,260,154,0.62,98,347,0.71,12,23,392313,880
Mate Delic,2011,0.6,0.61,3,8,4,0.63,0,9,0.67,0,1,7867,411
Renzo Olivo,2017,0.6,0.64,68,230,167,0.54,91,277,0.62,8,16,327412,189
Tommy Haas,2012,0.6,0.75,291,269,361,0.63,159,565,0.82,31,16,803056,298
Pablo Carreno Busta,2015,0.6,0.69,205,275,261,0.63,76,478,0.78,14,25,427994,12
Emilio Gomez,2016,0.6,0.78,8,12,4,0.75,4,17,0.82,3,2,39098,518
Kenny De Schepper,2011,0.6,0.8,50,28,8,0.71,21,40,0.8,0,2,78167,174
Jose Hernandez-Fernandez,2017,0.6,0.58,2,10,4,0.6,3,7,0.43,2,2,35179,263
Emilio Gomez,2017,0.6,0.7,2,8,9,0.38,6,16,0.69,1,2,17634,518
Hyeon Chung,2017,0.6,0.72,148,310,357,0.63,147,513,0.78,29,18,1032800,19
Hyeon Chung,2015,0.6,0.72,77,94,136,0.56,64,208,0.8,12,10,283209,19
Ivan Dodig,2013,0.6,0.74,520,354,366,0.63,167,703,0.82,31,25,497006,407
Jerzy Janowicz,2014,0.6,0.74,395,337,289,0.6,309,628,0.79,24,26,738975,178
Gianni Mina,2015,0.6,0.89,7,4,5,0.75,2,14,0.93,1,1,26162,481
Dmitry Tursunov,2012,0.6,0.73,84,99,63,0.62,38,171,0.78,3,11,205621,516
David Guez,2010,0.6,0.57,1,38,24,0.42,12,64,0.66,0,5,104027,268
Lukas Rosol,2016,0.6,0.71,253,300,189,0.69,117,465,0.8,16,24,440640,284
Petros Chrysochos,2017,0.6,0.73,5,5,2,0.4,4,8,0.63,1,3,3720,699
John-Patrick Smith,2015,0.6,0.76,74,40,45,0.55,19,110,0.84,3,5,176272,238
Yoshihito Nishioka,2016,0.6,0.67,43,148,123,0.6,45,229,0.74,10,12,289929,366
Lucas Pouille,2014,0.6,0.66,29,54,38,0.52,19,76,0.66,2,4,158422,11
Vishnu Vardhan,2012,0.6,0.74,16,10,8,0.3,6,23,0.7,2,1,5673,675
Andre Ghem,2015,0.6,0.81,2,5,1,0.4,2,10,0.7,0,1,76517,661
Renzo Olivo,2014,0.6,0.72,4,14,14,0.57,10,23,0.74,2,1,35192,189
Stefano Napolitano,2017,0.6,0.67,14,30,32,0.6,6,43,0.72,1,2,152890,187
James McGee,2015,0.6,0.58,1,10,3,0.5,3,7,0.29,0,3,60087,474
Constant Lestienne,2015,0.6,0.47,1,10,5,0.4,4,8,0.25,0,1,25522,207
Ivan Dodig,2016,0.6,0.69,182,210,125,0.61,83,308,0.73,32,18,553222,407
Mohamed Safwat,2015,0.6,0.62,0,4,0,0,2,8,0.5,0,1,31702,226
Tommy Paul,2015,0.6,0.55,0,13,7,0.38,2,14,0.43,0,1,57839,163
Dominic Thiem,2012,0.6,0.75,15,23,8,0.74,9,35,0.83,1,2,27636,7
Albert Ramos-Vinolas,2011,0.6,0.68,114,243,227,0.63,87,357,0.75,13,16,258482,24
Bradley Klahn,2014,0.6,0.66,87,141,90,0.56,71,193,0.68,2,11,219549,165
Sam Querrey,2015,0.6,0.78,606,203,240,0.61,158,556,0.86,20,24,526082,14
Facundo Bagnis,2016,0.6,0.65,53,128,105,0.58,71,180,0.7,6,11,287122,223
Frank Dancevic,2015,0.6,0.71,16,21,4,0.57,9,30,0.7,0,5,63253,328
Aslan Karatsev,2016,0.6,0.63,3,26,14,0.62,6,23,0.57,0,3,70168,541
Vincent Millot,2016,0.6,0.69,26,55,52,0.65,16,82,0.77,3,4,137734,220
Gerard Granollers,2013,0.6,0.63,2,10,9,0.6,2,14,0.71,0,1,10861,388
Santiago Giraldo,2017,0.6,0.68,56,121,90,0.53,38,164,0.65,6,11,241978,293
Kyle Edmund,2014,0.6,0.69,28,40,23,0.55,14,60,0.7,0,5,107246,23
Adam Pavlasek,2016,0.6,0.71,36,49,36,0.65,20,81,0.79,3,3,171484,210
Franko Skugor,2016,0.6,0.69,22,56,32,0.61,16,72,0.69,1,5,124627,292
Petru-Alexandru Luncanu,2009,0.6,0.59,0,26,6,0.65,8,21,0.57,0,1,4690,835
Jurgen Melzer,2009,0.6,0.74,412,336,389,0.59,141,716,0.81,36,29,664153,581
Austin Krajicek,2014,0.6,0.81,12,5,5,0.4,6,19,0.84,1,1,70976,291
Facundo Arguello,2014,0.6,0.68,17,41,25,0.44,27,68,0.66,0,2,12119,253
Ricardo Hocevar,2011,0.6,0.77,6,3,5,0.33,2,11,0.82,0,1,34098,823
Grigor Dimitrov,2011,0.6,0.71,234,250,288,0.55,158,496,0.77,18,25,356469,5
Milos Raonic,2010,0.6,0.78,98,39,33,0.64,26,92,0.85,4,6,88865,22
Pablo Carreno Busta,2011,0.6,0.63,2,11,6,0.36,3,15,0.53,0,1,49834,12
Ante Pavic,2016,0.6,0.79,19,11,13,0.73,5,25,0.88,1,1,32288,288
Kevin King,2014,0.6,0.73,7,9,5,0.78,8,14,0.86,0,1,19678,172
Kevin Krawietz,2010,0.6,0.58,0,6,0,0.17,2,7,0.29,0,1,3861,408
John-Patrick Smith,2013,0.6,0.55,2,19,8,0.68,1,13,0.54,0,1,68607,238
Pablo Cuevas,2011,0.6,0.7,129,155,166,0.6,40,299,0.79,13,13,182308,41
Filip Krajinovic,2015,0.6,0.65,61,131,89,0.58,48,187,0.71,4,13,286602,27
Grega Zemlja,2009,0.6,0.65,7,13,6,0.46,9,22,0.68,4,3,68274,898
Marcel Granollers,2015,0.6,0.69,148,233,202,0.58,69,383,0.75,14,21,515326,129
Joao Sousa,2014,0.6,0.67,152,490,346,0.61,116,664,0.72,24,36,672525,64
Joao Sousa,2015,0.6,0.7,191,430,440,0.62,133,769,0.79,38,31,848973,64
Calvin Hemery,2016,0.6,0.63,14,16,18,0.44,11,29,0.69,1,1,54240,130
Calvin Hemery,2015,0.6,0.71,5,6,4,0.5,5,10,0.7,0,1,45829,130
Marius Copil,2014,0.6,0.75,126,61,65,0.7,24,133,0.86,7,7,142633,86
Andreas Seppi,2009,0.6,0.69,212,397,456,0.57,135,651,0.74,24,31,517844,62
Evgeny Donskoy,2012,0.6,0.65,16,28,14,0.57,4,47,0.74,0,4,106274,87
Guido Pella,2014,0.6,0.74,33,49,23,0.69,13,80,0.81,3,4,80118,60
Martin Klizan,2011,0.6,0.52,3,15,13,0.33,11,17,0.41,2,4,93588,128
Daniel Evans,2012,0.6,0.58,2,13,4,0.69,2,12,0.67,2,3,19487,994
Denis Kudla,2013,0.6,0.7,58,123,104,0.63,47,202,0.78,5,11,250001,117
Federico Delbonis,2015,0.6,0.68,110,257,218,0.57,126,401,0.72,17,20,360186,79
Andrey Kuznetsov,2014,0.6,0.71,89,121,130,0.6,37,219,0.78,9,8,350143,135
Denis Kudla,2015,0.6,0.69,132,175,133,0.59,84,300,0.76,8,14,435070,117
Frances Tiafoe,2015,0.6,0.72,54,52,34,0.6,15,84,0.75,1,5,115268,56
Mikhail Kukushkin,2014,0.6,0.68,154,319,305,0.62,58,503,0.76,16,27,547266,95
Philipp Kohlschreiber,2012,0.6,0.74,499,376,424,0.65,126,853,0.85,42,24,1021504,40
Joao Sousa,2012,0.6,0.66,15,62,77,0.5,22,95,0.67,5,5,121284,64
Henri Laaksonen,2017,0.6,0.74,154,143,138,0.61,107,254,0.78,11,12,280186,136
Pierre-Hugues Herbert,2017,0.6,0.74,275,177,162,0.58,122,369,0.8,10,20,548424,82
Peter Polansky,2010,0.6,0.72,30,38,34,0.63,14,70,0.8,4,4,77093,124
Federico Delbonis,2009,0.6,0.63,2,7,9,0.29,1,11,0.55,0,1,36547,79
Gilles Muller,2011,0.6,0.8,388,141,98,0.68,78,335,0.87,17,12,349597,28
Kei Nishikori,2010,0.6,0.67,37,102,81,0.55,48,143,0.68,3,9,167200,36
James Duckworth,2012,0.6,0.71,36,38,32,0.61,15,63,0.76,2,3,79693,1051
